Engine Fuel Type,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,MSRP
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2667
regular unleaded,4.0,MANUAL,2.0,Compact,3083
regular unleaded,4.0,MANUAL,2.0,Compact,3578
regular unleaded,4.0,MANUAL,2.0,Compact,3047
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,2.0,Compact,4651
regular unleaded,4.0,MANUAL,2.0,Compact,3839
regular unleaded,4.0,MANUAL,2.0,Compact,4191
regular unleaded,4.0,MANUAL,2.0,Compact,4878
regular unleaded,4.0,MANUAL,2.0,Compact,4723
regular unleaded,4.0,MANUAL,2.0,Compact,5576
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,45000
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39700
premium unleaded (required),4.0,MANUAL,4.0,Midsize,43800
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,35500
premium unleaded (required),4.0,MANUAL,4.0,Midsize,38500
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,37600
premium unleaded (required),4.0,MANUAL,4.0,Midsize,36400
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,42900
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,37600
premium unleaded (required),4.0,MANUAL,4.0,Midsize,37000
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,38000
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,38000
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,35900
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40100
premium unleaded (required),4.0,MANUAL,4.0,Midsize,39100
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,43800
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,41500
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,47900
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,50200
premium unleaded (required),4.0,MANUAL,2.0,Midsize,40500
premium unleaded (required),4.0,MANUAL,2.0,Midsize,42800
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,60100
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,56300
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,61600
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,57400
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,61600
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,67600
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,58600
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43850
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,45850
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,33975
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,40820
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,42820
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,42095
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,44095
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,38555
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,47690
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,35975
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,49690
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36555
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36755
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,44295
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,42295
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,30975
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36175
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,49890
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41020
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34175
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,47890
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,38755
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43020
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,38350
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43750
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,35070
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,32450
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,37070
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41450
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,34450
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,29070
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,44920
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,46920
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41750
regular unleaded,4.0,AUTOMATIC,4.0,Compact,17395
regular unleaded,4.0,MANUAL,4.0,Compact,14895
regular unleaded,4.0,AUTOMATIC,4.0,Compact,16095
regular unleaded,4.0,MANUAL,4.0,Compact,16395
regular unleaded,4.0,MANUAL,4.0,Compact,14995
regular unleaded,4.0,AUTOMATIC,4.0,Compact,17495
regular unleaded,4.0,MANUAL,4.0,Compact,16495
regular unleaded,4.0,AUTOMATIC,4.0,Compact,16195
regular unleaded,4.0,AUTOMATIC,4.0,Compact,17495
regular unleaded,4.0,AUTOMATIC,4.0,Compact,16195
regular unleaded,4.0,MANUAL,4.0,Compact,16495
regular unleaded,4.0,MANUAL,4.0,Compact,14995
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34020
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36220
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,29670
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34770
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32570
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,29990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32890
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36540
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34340
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,35090
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,31905
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,29155
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,34905
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,35055
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,32055
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,29305
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,29605
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,32905
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,35955
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,39780
regular unleaded,6.0,MANUAL,2.0,Midsize,30775
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,32550
regular unleaded,6.0,MANUAL,2.0,Midsize,32550
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,30775
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34680
regular unleaded,6.0,MANUAL,2.0,Midsize,31025
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,34225
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,33025
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,31025
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34830
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,34375
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,33175
regular unleaded,6.0,MANUAL,2.0,Midsize,31175
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,31175
regular unleaded,6.0,MANUAL,4.0,Midsize,39950
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,39950
regular unleaded,6.0,MANUAL,4.0,Midsize,39950
regular unleaded,6.0,MANUAL,4.0,Midsize,40250
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,40250
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26650
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26780
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26800
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,31950
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,29830
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32350
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,26450
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32090
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,27390
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,27990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32690
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32690
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,27990
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,2.0,Compact,48675
regular unleaded,6.0,AUTOMATIC,2.0,Compact,45150
regular unleaded,6.0,AUTOMATIC,2.0,Compact,47750
regular unleaded,6.0,AUTOMATIC,2.0,Compact,50675
regular unleaded,6.0,AUTOMATIC,2.0,Compact,51945
regular unleaded,6.0,AUTOMATIC,2.0,Compact,50835
regular unleaded,6.0,AUTOMATIC,2.0,Compact,49495
regular unleaded,6.0,AUTOMATIC,2.0,Compact,46995
regular unleaded,6.0,AUTOMATIC,2.0,Compact,48995
regular unleaded,4.0,AUTOMATIC,4.0,Compact,33215
regular unleaded,4.0,AUTOMATIC,4.0,Compact,37340
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41340
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,45155
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,47155
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,48110
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,37340
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43340
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,33215
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,49210
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,46995
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43995
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,45995
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,37800
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,41700
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,36470
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,36650
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,38100
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,41950
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,42550
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,38700
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,37250
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,37170
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,39980
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,36080
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,37050
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,40450
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,41050
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,37650
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,18995
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,19795
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,22595
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,20595
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,23295
regular unleaded,4.0,MANUAL,4.0,Compact,11965
regular unleaded,4.0,MANUAL,4.0,Compact,14100
regular unleaded,4.0,MANUAL,4.0,Compact,15365
regular unleaded,4.0,MANUAL,4.0,Compact,15365
regular unleaded,4.0,MANUAL,4.0,Compact,12115
regular unleaded,4.0,MANUAL,4.0,Compact,14250
regular unleaded,4.0,MANUAL,4.0,Compact,15365
regular unleaded,4.0,MANUAL,4.0,Compact,12115
regular unleaded,4.0,MANUAL,4.0,Compact,14250
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,38200
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34100
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,39300
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34100
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,39300
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,23820
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,20870
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,24190
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,21275
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,24445
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,21530
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,30695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32395
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34195
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,37695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35895
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,33895
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35895
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34195
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32395
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,33895
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,37695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,30695
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,29995
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,37295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,37295
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,33495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,33495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,31995
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,32495
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,34495
regular unleaded,4.0,AUTOMATIC,4.0,Compact,22795
premium unleaded (required),4.0,MANUAL,4.0,Compact,23995
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,24995
regular unleaded,4.0,MANUAL,4.0,Compact,21995
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,26295
regular unleaded,4.0,MANUAL,4.0,Compact,22345
premium unleaded (required),4.0,MANUAL,4.0,Compact,24345
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,25345
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,27245
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23145
premium unleaded (required),4.0,MANUAL,4.0,Compact,24595
regular unleaded,4.0,MANUAL,4.0,Compact,22495
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,25595
premium unleaded (required),4.0,AUTOMATIC,4.0,Compact,27495
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23295
regular unleaded,4.0,AUTOMATIC,2.0,Compact,20195
regular unleaded,4.0,AUTOMATIC,2.0,Compact,24185
regular unleaded,4.0,AUTOMATIC,2.0,Compact,26985
regular unleaded,4.0,AUTOMATIC,2.0,Compact,26195
regular unleaded,4.0,AUTOMATIC,2.0,Compact,26195
regular unleaded,4.0,MANUAL,2.0,Compact,23085
regular unleaded,4.0,AUTOMATIC,2.0,Compact,21795
regular unleaded,4.0,MANUAL,2.0,Compact,20695
regular unleaded,4.0,MANUAL,2.0,Compact,25885
regular unleaded,4.0,MANUAL,2.0,Compact,25095
regular unleaded,4.0,MANUAL,2.0,Compact,25885
regular unleaded,4.0,MANUAL,2.0,Compact,25095
regular unleaded,4.0,MANUAL,2.0,Compact,20695
regular unleaded,4.0,MANUAL,2.0,Compact,23085
regular unleaded,4.0,AUTOMATIC,2.0,Compact,24705
regular unleaded,4.0,AUTOMATIC,2.0,Compact,21795
regular unleaded,4.0,MANUAL,2.0,Compact,23605
regular unleaded,4.0,AUTOMATIC,2.0,Compact,24705
regular unleaded,4.0,AUTOMATIC,2.0,Compact,24185
regular unleaded,4.0,MANUAL,2.0,Compact,23605
regular unleaded,4.0,AUTOMATIC,2.0,Compact,26985
regular unleaded,4.0,AUTOMATIC,2.0,Compact,22450
regular unleaded,4.0,AUTOMATIC,2.0,Compact,19795
regular unleaded,4.0,AUTOMATIC,2.0,Compact,25975
regular unleaded,4.0,MANUAL,2.0,Compact,21350
regular unleaded,4.0,AUTOMATIC,2.0,Compact,19595
regular unleaded,4.0,AUTOMATIC,2.0,Compact,22450
regular unleaded,4.0,AUTOMATIC,2.0,Compact,25975
regular unleaded,4.0,AUTOMATIC,2.0,Compact,23995
regular unleaded,4.0,MANUAL,2.0,Compact,21350
regular unleaded,4.0,AUTOMATIC,2.0,Compact,19795
regular unleaded,4.0,AUTOMATIC,2.0,Compact,23995
regular unleaded,4.0,AUTOMATIC,2.0,Compact,20475
regular unleaded,4.0,AUTOMATIC,2.0,Compact,19995
regular unleaded,4.0,AUTOMATIC,2.0,Compact,23995
regular unleaded,4.0,AUTOMATIC,2.0,Compact,21890
regular unleaded,4.0,AUTOMATIC,2.0,Compact,25975
regular unleaded,4.0,AUTOMATIC,2.0,Compact,22450
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2000
premium unleaded (required),6.0,MANUAL,2.0,Compact,62100
premium unleaded (required),6.0,MANUAL,2.0,Compact,50400
premium unleaded (required),6.0,MANUAL,2.0,Compact,73500
premium unleaded (required),6.0,MANUAL,2.0,Compact,63300
premium unleaded (required),6.0,MANUAL,2.0,Compact,51400
premium unleaded (required),6.0,MANUAL,2.0,Compact,74600
premium unleaded (required),6.0,MANUAL,2.0,Compact,63900
premium unleaded (required),6.0,MANUAL,2.0,Compact,52100
premium unleaded (required),4.0,MANUAL,2.0,Compact,29490
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,28795
premium unleaded (required),4.0,MANUAL,2.0,Compact,25695
premium unleaded (required),4.0,MANUAL,2.0,Compact,27695
premium unleaded (required),4.0,MANUAL,2.0,Compact,27395
premium unleaded (required),4.0,MANUAL,2.0,Compact,27690
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,28495
premium unleaded (required),4.0,MANUAL,2.0,Compact,25395
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,28745
premium unleaded (required),4.0,MANUAL,2.0,Compact,29695
premium unleaded (required),4.0,MANUAL,2.0,Compact,25495
premium unleaded (required),4.0,MANUAL,2.0,Compact,27645
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40400
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46050
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,42575
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,38400
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,44050
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41050
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,48590
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39050
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40575
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,39400
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,43125
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,50800
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41125
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41275
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,38950
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39275
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40950
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39850
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39500
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,52000
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41675
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,44650
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,42650
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,43675
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41500
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41850
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,52900
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,50900
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27170
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24170
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24170
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27170
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24120
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27120
regular unleaded,6.0,AUTOMATIC,4.0,Compact,3555
regular unleaded,6.0,AUTOMATIC,4.0,Compact,3996
regular unleaded,6.0,AUTOMATIC,4.0,Compact,4330
regular unleaded,6.0,AUTOMATIC,2.0,Compact,2631
regular unleaded,6.0,AUTOMATIC,2.0,Compact,2837
regular unleaded,6.0,AUTOMATIC,2.0,Compact,3137
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,34900
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,43800
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,44090
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,35990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,32990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,38990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,31990
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,44390
regular unleaded,6.0,MANUAL,2.0,Midsize,29205
regular unleaded,6.0,MANUAL,2.0,Midsize,31205
regular unleaded,6.0,MANUAL,2.0,Midsize,26005
regular unleaded,6.0,MANUAL,2.0,Midsize,35105
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,29980
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,27995
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26790
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,30140
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,27995
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26790
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,26790
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,27995
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,30140
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,31370
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,31370
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,31370
regular unleaded,6.0,AUTOMATIC,4.0,Compact,34280
regular unleaded,6.0,AUTOMATIC,4.0,Compact,35020
regular unleaded,6.0,AUTOMATIC,4.0,Compact,38110
regular unleaded,6.0,AUTOMATIC,4.0,Compact,37810
regular unleaded,4.0,AUTOMATIC,4.0,Compact,29245
regular unleaded,6.0,AUTOMATIC,4.0,Compact,30765
regular unleaded,6.0,AUTOMATIC,4.0,Compact,33460
regular unleaded,6.0,AUTOMATIC,4.0,Compact,34720
regular unleaded,6.0,AUTOMATIC,4.0,Compact,20555
regular unleaded,4.0,AUTOMATIC,4.0,Compact,19055
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2066
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2103
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2241
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,31305
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,74100
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,95500
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,74800
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,58300
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,59600
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,97200
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,76200
premium unleaded (required),6.0,MANUAL,2.0,Compact,58900
premium unleaded (required),6.0,MANUAL,2.0,Compact,52600
premium unleaded (required),6.0,MANUAL,2.0,Compact,63800
premium unleaded (required),6.0,MANUAL,2.0,Compact,63800
premium unleaded (required),6.0,MANUAL,2.0,Compact,75200
premium unleaded (required),6.0,MANUAL,2.0,Compact,52600
premium unleaded (required),6.0,MANUAL,2.0,Compact,64100
premium unleaded (required),6.0,MANUAL,2.0,Compact,75200
premium unleaded (required),6.0,MANUAL,2.0,Compact,52600
regular unleaded,4.0,AUTOMATIC,2.0,Compact,18140
premium unleaded (required),4.0,MANUAL,2.0,Compact,22005
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,22705
regular unleaded,4.0,MANUAL,2.0,Compact,17340
regular unleaded,4.0,MANUAL,2.0,Compact,19535
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,22935
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,24810
premium unleaded (required),4.0,MANUAL,2.0,Compact,22235
regular unleaded,4.0,AUTOMATIC,2.0,Compact,18370
regular unleaded,4.0,MANUAL,2.0,Compact,17570
regular unleaded,4.0,AUTOMATIC,2.0,Compact,20335
premium unleaded (required),4.0,MANUAL,2.0,Compact,24110
regular unleaded,4.0,MANUAL,2.0,Compact,17670
premium unleaded (required),4.0,MANUAL,2.0,Compact,22335
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,23035
regular unleaded,4.0,AUTOMATIC,2.0,Compact,18470
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2033
